Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,7.615384615384616,5.8381901780477135,396.0,52,1.0
low -> low,3.403846153846154,2.8578040066759565,177.0,47,0.9038461446762085
low -> low -> low,2.1346153846153846,1.9202618913896559,111.0,44,0.8461538553237915
low -> low -> low -> low,1.423076923076923,1.4463768641617936,74.0,37,0.7115384340286255
high,0.9038461538461539,0.8462052637606843,47.0,33,0.6346153616905212
high -> low,0.7115384615384615,0.7231884320808971,37.0,29,0.557692289352417
low -> low -> low -> low -> low,0.9807692307692307,1.2285873382312473,51.0,28,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
