Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
error,3.8,2.587418953726911,76.0,20,1.0
none,4.5,3.7063246087280532,90.0,17,0.8500000238418579
none -> error,1.2,1.0563093645728083,24.0,15,0.75
error -> error,1.5,1.4327007988227578,30.0,14,0.699999988079071
none -> none,1.6999999999999997,1.6254554017744982,34.0,13,0.6499999761581421
error -> none,1.1,1.119210247874531,22.0,13,0.6499999761581421
none -> none -> none,0.9000000000000001,0.967906041546987,18.0,11,0.550000011920929
none -> error -> error,0.7,0.8013147091860318,14.0,11,0.550000011920929
none -> none -> none -> none,0.6,0.6805570473787206,12.0,10,0.5
none -> none -> error,0.55,0.6048053188292994,11.0,10,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
