Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
case,2.166666666666667,1.5447261445928264,91.0,42,1.0
none,4.119047619047619,2.3499079478845077,173.0,42,1.0
case -> none,1.1904761904761905,0.5054867366041316,50.0,41,0.976190447807312
none -> case,1.0238095238095237,0.6803189796363366,43.0,34,0.8095238208770752
none -> none,1.4047619047619047,1.1699389979828694,59.0,32,0.761904776096344
case -> none -> none,0.5952380952380951,0.5868279263112164,25.0,23,0.5476190447807312
none -> case -> none,0.5476190476190477,0.5037605389507487,23.0,23,0.5476190447807312
case -> case,0.6666666666666667,0.7213357077339455,28.0,22,0.523809552192688
case -> case -> none,0.5238095238095238,0.5516315153139572,22.0,21,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
