Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.896,1.2688831767066007,362.0,125,1.0
low,3.016,2.3588679625015314,377.0,111,0.8880000114440918
high -> low,1.6079999999999997,1.0541469567624873,201.0,110,0.8799999952316284
low -> high,1.0239999999999998,0.9875352178285142,128.0,81,0.6480000019073486
high -> high,0.632,0.6161273433518489,79.0,70,0.5600000023841858
high -> low -> low,0.7120000000000001,0.7600509320794481,89.0,69,0.5519999861717224
low -> low,0.944,1.0947381480989995,118.0,69,0.5519999861717224


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
