Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.827788649706458,1.5151816050955527,1445.0,508,0.9941291809082031
low,2.7201565557729936,2.54719468430585,1390.0,435,0.8512719869613647
high -> low,1.3346379647749511,0.9799728968075673,682.0,427,0.835616409778595
high -> high,0.7592954990215266,0.7186498047873382,388.0,312,0.6105675101280212
low -> high,0.8669275929549901,0.9548134776488444,443.0,289,0.5655577182769775
low -> low,0.894324853228963,1.153250769520968,457.0,267,0.5225048661231995
high -> low -> low,0.62426614481409,0.6971357363601458,319.0,261,0.5107632279396057


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
