Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.9375,1.2893796958227628,47.0,16,1.0
high -> low,2.0625,1.0626225419530053,33.0,15,0.9375
low,4.25,2.840187787218772,68.0,15,0.9375
low -> high,1.375,0.9574271077563381,22.0,13,0.8125
high -> low -> low,0.9375,0.7719024117939607,15.0,11,0.6875
low -> high -> low,0.75,0.5773502691896257,12.0,11,0.6875
low -> low,1.4375,1.547847968417226,23.0,11,0.6875
low -> low -> high,0.625,0.6191391873668903,10.0,9,0.5625
low -> low -> high -> low,0.5,0.5163977794943222,8.0,8,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
