Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.230769230769231,1.3655092034165806,58.0,26,1.0
high -> low,1.6153846153846154,1.0228166239135177,42.0,24,0.9230769276618958
low,3.4615384615384617,2.671789950288297,90.0,24,0.9230769276618958
high -> low -> low,0.7692307692307693,0.7103628541917045,20.0,16,0.6153846383094788
low -> low,1.1923076923076923,1.3570329625836146,31.0,16,0.6153846383094788
low -> high,0.8846153846153846,0.9930527912220205,23.0,14,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
