Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.05,1.145931016569864,61.0,20,1.0
high -> low,1.7,0.7326950970650465,34.0,20,1.0
low,5.25,3.7116459676905724,105.0,20,1.0
high -> low -> low,1.25,0.6386663736585051,25.0,19,0.949999988079071
low -> low,2.0,1.6222142113076254,40.0,19,0.949999988079071
low -> high,1.3,0.8013147091860318,26.0,17,0.8500000238418579
high -> low -> low -> low,0.85,0.7451598203705947,17.0,13,0.6499999761581421
low -> low -> low,1.15,1.1821033884786185,23.0,13,0.6499999761581421
high -> high,0.75,0.7163503994113789,15.0,12,0.6000000238418579
high -> high -> low,0.65,0.5871429486123997,13.0,12,0.6000000238418579
low -> low -> high,0.75,0.7163503994113789,15.0,12,0.6000000238418579
high -> high -> low -> low,0.55,0.6048053188292994,11.0,10,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
