Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.15,1.8579984589286649,441.0,140,1.0
low,3.314285714285714,2.8210047556587234,464.0,128,0.9142857193946838
high -> low,1.4857142857142858,1.007066501956447,208.0,125,0.8928571343421936
low -> high,1.1285714285714288,1.0650960516206038,158.0,95,0.6785714030265808
low -> low,1.1785714285714284,1.2652969460833023,165.0,92,0.6571428775787354
high -> low -> low,0.8142857142857144,0.7155589884709014,114.0,91,0.6499999761581421
high -> high,0.7928571428571429,0.8090889144780985,111.0,83,0.5928571224212646


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
