Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.0523255813953485,1.8007942850641059,525.0,169,0.9825581312179565
low,3.52906976744186,2.9803004785545455,607.0,156,0.9069767594337463
high -> low,1.4476744186046513,1.0044610139097343,249.0,149,0.8662790656089783
low -> low,1.2848837209302326,1.3312279379044814,221.0,118,0.6860465407371521
low -> high,1.0930232558139534,1.0331115435635727,188.0,115,0.6686046719551086
high -> low -> low,0.8313953488372093,0.7259213347916735,143.0,113,0.6569767594337463
high -> high,0.7790697674418604,0.7858568950079415,134.0,102,0.5930232405662537


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
