Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.491379310344827,2.4191111901946023,521.0,116,1.0
low,2.9482758620689657,2.2100357171467766,342.0,103,0.8879310488700867
low -> high,1.646551724137931,1.105356997966505,191.0,100,0.8620689511299133
high -> high,1.4913793103448278,1.1831842787500426,173.0,98,0.8448275923728943
high -> low,1.5258620689655171,1.1303035905881889,177.0,94,0.8103448152542114
low -> high -> high,0.7758620689655172,0.723352183109718,90.0,74,0.6379310488700867
high -> low -> high,0.6637931034482759,0.7335911136586794,77.0,62,0.5344827771186829
low -> low,0.8103448275862071,0.9592913426378706,94.0,62,0.5344827771186829
low -> low -> high,0.6896551724137929,0.8066440743405144,80.0,59,0.5086206793785095


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
