Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.7105263157894735,1.4314591825059682,141.0,38,1.0
high -> low,1.6052631578947367,1.0277099623503132,61.0,34,0.8947368264198303
low,2.7105263157894735,2.426296195648522,103.0,34,0.8947368264198303
high -> high,1.131578947368421,0.8111071056538125,43.0,31,0.8157894611358643
low -> high,1.131578947368421,0.8111071056538125,43.0,29,0.7631579041481018
high -> high -> low,0.7368421052631579,0.5543055322149479,28.0,26,0.6842105388641357
high -> low -> high,0.631578947368421,0.5413223364846865,24.0,23,0.6052631735801697


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
