Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.2619047619047614,1.5763236749379308,274.0,83,0.988095223903656
low,2.8452380952380953,2.456827455774404,239.0,76,0.9047619104385376
high -> low,1.5476190476190477,1.0459878815299521,130.0,75,0.8928571343421936
low -> high,1.0833333333333335,0.9595221367554241,91.0,58,0.6904761791229248
high -> high,0.9285714285714284,0.8182513574648781,78.0,56,0.6666666865348816
high -> high -> low,0.5952380952380952,0.5832821057745642,50.0,46,0.5476190447807312
high -> low -> high,0.5952380952380952,0.6035846257642573,50.0,45,0.5357142686843872
low -> low,0.8690476190476192,1.1170072095285868,73.0,43,0.511904776096344


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
