Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,4.467692307692308,3.3833792959981306,1452.0,312,0.9599999785423279
high,2.04,1.30818883372828,663.0,305,0.9384615421295166
high -> low,1.3169230769230769,0.8648787167469538,428.0,285,0.8769230842590332
low -> low,1.7938461538461539,1.68433935129842,583.0,253,0.7784615159034729
high -> low -> low,0.8215384615384614,0.6612026798612127,267.0,224,0.689230740070343
low -> low -> low,0.9476923076923078,1.133266295989532,308.0,180,0.5538461804389954
low -> high,0.7046153846153844,0.8233533453166169,229.0,167,0.5138461589813232


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
