Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.157894736842105,1.4616968256932832,158.0,38,1.0
high -> high,1.368421052631579,0.7857189041263831,52.0,34,0.8947368264198303
low,2.263157894736842,2.2140120184043024,86.0,31,0.8157894611358643
high -> low,1.368421052631579,1.0760551736979405,52.0,30,0.7894737124443054
low -> high,1.2105263157894737,0.8748094691970764,46.0,30,0.7894737124443054
high -> low -> high,0.6578947368421053,0.5340470568128519,25.0,24,0.6315789222717285
high -> high -> low,0.6578947368421053,0.6271478031521577,25.0,22,0.5789473652839661
high -> high -> high,0.5263157894736843,0.5568658485285913,20.0,19,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
