Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.583333333333333,1.6147537641620482,301.0,84,1.0
low,2.5238095238095237,2.2891898418340917,212.0,72,0.8571428656578064
high -> low,1.4404761904761905,1.1014906709643328,121.0,70,0.8333333134651184
high -> high,1.0833333333333335,0.8244506507378159,91.0,62,0.738095223903656
low -> high,1.1547619047619044,1.0237428096050367,97.0,60,0.7142857313156128
high -> low -> high,0.6190476190476192,0.5788389272752851,52.0,48,0.5714285969734192
high -> high -> low,0.5714285714285716,0.6069023518787904,48.0,43,0.511904776096344


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
