Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.9827586206896557,2.19874572395734,462.0,116,1.0
low,3.4568965517241375,2.5922702535550317,401.0,105,0.9051724076271057
low -> high,1.6206896551724137,1.1317948225009171,188.0,98,0.8448275923728943
high -> low,1.689655172413793,1.1677834306623534,196.0,97,0.8362069129943848
high -> high,1.224137931034483,1.0474499626654508,142.0,88,0.7586206793785095
low -> low,1.0172413793103445,1.141949200276437,118.0,67,0.5775862336158752
high -> low -> high,0.6379310344827586,0.7027468060854258,74.0,62,0.5344827771186829
low -> high -> high,0.6551724137931036,0.6991105936752113,76.0,62,0.5344827771186829
high -> high -> low,0.6982758620689656,0.771445031276927,81.0,61,0.5258620977401733
high -> low -> low,0.7758620689655172,0.9144844772167889,90.0,61,0.5258620977401733
low -> low -> high,0.7068965517241379,0.8131232472954845,82.0,60,0.517241358757019


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
