Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.4375,1.672074559741082,55.0,16,1.0
low,3.75,2.0816659994661326,60.0,15,0.9375
low -> low,1.375,0.7187952884282609,22.0,15,0.9375
high -> low,1.875,1.2041594578792296,30.0,15,0.9375
high -> low -> low,1.0625,0.4425306015783918,17.0,15,0.9375
low -> high,1.4375,1.2632629707758134,23.0,13,0.8125
low -> low -> high,0.8125,0.6551081335677849,13.0,11,0.6875
high -> high,0.875,0.8850612031567836,14.0,9,0.5625


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
