Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.119047619047619,1.417699630238915,173.0,42,1.0
high -> high,1.3571428571428572,0.7593780693862628,57.0,38,0.9047619104385376
low,2.166666666666667,2.1855028630106257,91.0,33,0.7857142686843872
high -> low,1.3095238095238095,1.0704021409366289,55.0,32,0.761904776096344
low -> high,1.1666666666666667,0.881148548332029,49.0,32,0.761904776096344
high -> low -> high,0.6428571428571429,0.5328903502931349,27.0,26,0.6190476417541504
high -> high -> low,0.6190476190476191,0.6228330611547235,26.0,23,0.5476190447807312
high -> high -> high,0.5476190476190477,0.5500501508124753,23.0,22,0.523809552192688


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
