Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.4545454545454546,2.0848796234788862,152.0,43,0.9772727489471436
low,3.6590909090909087,3.2489224103928125,161.0,39,0.8863636255264282
high -> low,1.7954545454545456,1.3906589613284217,79.0,38,0.8636363744735718
low -> low,1.25,1.4162676136551213,55.0,31,0.7045454382896423
high -> low -> low,0.9318181818181819,0.8733183780438697,41.0,30,0.6818181872367859
low -> high,1.3181818181818181,1.3601081911946402,58.0,30,0.6818181872367859
high -> high,0.9090909090909091,1.0073724010186293,40.0,26,0.5909090638160706


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
