Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,4.807692307692308,3.8605011436262613,250.0,50,0.9615384340286255
high,3.7115384615384617,2.717673013137313,193.0,49,0.942307710647583
high -> low,2.0,1.5965649400644926,104.0,44,0.8461538553237915
low -> high,1.826923076923077,1.7232112504201742,95.0,40,0.7692307829856873
low -> low,1.596153846153846,1.6480483452909656,83.0,36,0.692307710647583
high -> high,0.9615384615384615,0.9893855978519205,50.0,34,0.6538461446762085
high -> high -> low,0.6923076923076923,0.7012163532443572,36.0,30,0.5769230723381042
high -> low -> low,1.0192307692307692,1.212522643659751,53.0,29,0.557692289352417
low -> high -> low,0.8653846153846155,1.0295410390709163,45.0,29,0.557692289352417
low -> low -> high,0.9615384615384615,1.154047242407082,50.0,29,0.557692289352417
low -> low -> low,0.6923076923076923,0.8526420654086765,36.0,26,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
