Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.232,1.9140229546606151,404.0,125,1.0
low,4.16,3.5637059362410928,520.0,121,0.9679999947547913
high -> low,1.6720000000000002,0.9653346402890217,209.0,120,0.9599999785423279
low -> low,1.56,1.6867605906952479,195.0,93,0.7440000176429749
high -> low -> low,0.968,0.771843206541245,121.0,91,0.7279999852180481
low -> high,1.24,1.0806210878397062,155.0,89,0.7120000123977661
high -> high,0.784,0.8384317157261423,98.0,70,0.5600000023841858
low -> low -> high,0.7040000000000001,0.7622547199358725,88.0,68,0.5440000295639038


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
